и	i
красноречиво	krəsnərɪˈt͡ɕivə
надзора	nɐd͡zˈzorə
пребывали	prɪbɨˈvalɪ
подковы	pɐtˈkovɨ
разборок	rɐzˈborək
переулков	pɪrɪˈuɫkəf
пожаловали	pɐˈʐaɫəvəlɪ
реализацию	rɪəlɪˈzat͡sɨjʊ
лежите	lɛˈʒitɛ
складам	ˈskɫadəm
действующий	ˈdejstvʊjʉɕːɪj
лупить	ɫʊˈpit
мечтаний	mɪt͡ɕˈtanɪj
пылесос	pɨlɪˈsos
ключицы	klʉˈt͡ɕit͡sɨ
доступным	
жилка	ˈʐɨɫkə
погубит	pɐˈɡubɪt
щами	ˈɕːæmɪ
ничтожной	
сибирский	sɪˈbirskɪj
расстраиваться	rɐsːˈtraɪvət͡sə
слабеет	sɫɐˈbejɪt
издательством	ɪzˈdatɪlstvəm
протекать	prətɪˈkat
греческого	ˈɡret͡ɕɪskəvə
блюдца	ˈblut͡sːə
подданные	ˈpodːənːɨje
свеж	svɛʃ
присаживаясь	prɪˈsaʐɨvəjɪs
лю	liou
раздражении	rəzdrɐˈʐɛnɪɪ
барабанщик	bərɐˈbanɕːɪk
митинги	ˈmitɪnɡɪ
задавала	zədɐˈvaɫə
чистит	ˈt͡ɕistɪt
анемии	ɐnɪˈmiɪ
ребятишками	rɪbɪˈtiʂkəmɪ
киоск	ˈkijɔsk
успокоение	ʊspəkɐˈjenɪje
настойчивый	nɐˈstojt͡ɕɪvɨj
блестящего	
преобладают	prɪəbɫɐˈdajʊt
изрядный	ɪzˈradnɨj
рассуждает	rəsːʊʐˈdajɪt
кладбищем	ˈkɫadbɪɕːɪm
исследовательских	
санчасть	sɐnˈt͡ɕæst
продюсер	prodiuser
запивая	zəpɪˈvajə
дружками	ˈdruʂkəmɪ
проживающих	
похоронил	pəxərɐˈniɫ
ранг	raŋk
дубиной	dʊˈbinəj
ниточку	ˈnitət͡ɕkʊ
покрываются	pəkrɨˈvajʊt͡sə
сочно	ˈsɔt͡ʃnɔ
ладошками	ɫɐˈdoʂkəmɪ
закивала	zəkɪˈvaɫə
постельный	pɐˈstelnɨj
откроешь	ɐtˈkrojɪʂ
мифов	ˈmifəf
нарам	ˈnarəm
концлагерей	kənt͡sɫəɡɪˈrej
четвертым	
употребляется	ʊpətrɪˈblæjɪt͡sə
поспеть	pɐˈspet
берегли	bɪrɪˈɡli
цирковой	t͡sɨrkɐˈvoj
мистеру	ˈmistɨrʊ
медицину	mɪdɪˈt͡sɨnʊ
пристального	
длиться	ˈdlit͡sːə
солдатиков	sɐɫˈdatɪkəf
сомнениями	sɐˈmnenɪjəmɪ
босса	ˈbosə
материей	mɐˈterɪjɪj
шкафах	ʂkɐˈfax
живее	ʒiˈvɛɛ
автомобилях	ɐftəmɐˈbiləx
прошедшее	prɐˈʂɛt͡ʂʂɨje
энциклопедия	entsiklopedia
душевую	dʊʂɨˈvujʊ
отстранилась	ɐt͡sstrɐˈniɫəs
возникнут	vɐzˈniknʊt
этюд	etiud
лося	ˈɫosə
ужасен	oˈʒa̟sɛn
мужественным	
прочту	prɐt͡ɕˈtu
украсить	ʊˈkrasɪt
следствии	ˈslet͡stvɪɪ
родственных	
посудите	pɐˈsudɪte
самогона	səmɐˈɡonə
вырабатывается	vɨrɐˈbatɨvəjɪt͡sə
коммунистическое	
гнались	ɡnɐˈlis
плотную	
вложили	vɫɐˈʐɨlɪ
притаился	prɪtɐˈiɫsə
грандиозной	
волоса	ˈvoɫəsə
произносили	prəɪznɐˈsilɪ
дрогнувшим	
нереально	nɪrɪˈalnə
сочла	sɐt͡ɕˈɫa
архитектуре	ɐrxɪtɪkˈture
немыслимой	
освещенном	
повышенного	
определен	oprɛdɛˈlɛn
надевали	nədɪˈvalɪ
явных	
оказавшихся	
докладную	dəkɫɐdˈnujʊ
шептали	ʂɨpˈtalɪ
вертолетом	
предчувствовал	prɪˈt͡ɕːustvəvəɫ
экспертиза	ɪkspɪrˈtizə
каратэ	kərɐˈtɛ
диспетчерской	
растаяли	rɐˈstajɪlɪ
затянуть	zətɪˈnut
чеснока	t͡ɕɪsnɐˈka
персонажа	pɪrsɐˈnaʐə
посудину	pɐˈsudɪnʊ
распознать	rəspɐzˈnat
распределении	rəsprɪdɪˈlenɪɪ
широты	ʂɨrɐˈtɨ
немцах	ˈnemt͡səx
похмелье	pɐxˈmelje
лесника	lɪsnɪˈka
поселили	pəsɪˈlilɪ
мачте	ˈmat͡ɕte
проведенной	
современник	səvrɪˈmenːɪk
напряженные	
колония	kɐˈɫonɪjə
жи	ʐɨ
разоблачить	rəzəbɫɐˈt͡ɕit
растер	
недурно	
громадными	
завелись	zəvɪˈlis
указанного	
бинтом	bɪnˈtom
фальшивых	
собачьего	
сдержанной	
коммунальных	
воздел	vɐzˈdeɫ
боевика	bəjɪvɪˈka
малолетства	məɫɐˈlet͡stvə
переднике	pɪˈrednɪke
ансамбля	ɐnˈsamblə
хлестнул	xlɪsˈnuɫ
непрерывной	
конгресса	kɐnˈɡresə
собаках	sɐˈbakəx
алый	ˈaɫɨj
масштабов	mɐʂˈtabəf
гранита	ɡrɐˈnitə
колдовать	kəɫdɐˈvat
доносилась	dənɐˈsiɫəs
факторами	ˈfaktərəmɪ
помирились	pəmɪˈrilɪs
велосипедах	vɪɫəsɪˈpedəx
завоевал	zəvəjɪˈvaɫ
фас	fas
затряслась	zətrɪsˈɫas
руководствуясь	rʊkɐˈvot͡stvʊjɪs
сводились	svɐˈdilɪs
ценного	
сопротивлялась	səprətɪˈvlaɫəs
умное	
договариваться	dəɡɐˈvarɪvət͡sə
обслуживает	ɐpsˈɫuʐɨvəjɪt
докторша	
нейтральной	
неумение	nɪʊˈmenɪje
формирует	fərmɪˈrujɪt
виляя	vɪˈlæjə
кулачком	kʊɫɐt͡ɕˈkom
кандидатуры	kəndɪdɐˈturɨ
трудящиеся	trʊˈdæɕːɪjɪsə
сумев	sʊˈmef
холодному	xɔˈɫɔdnɔmʊ
сеансы	sɪˈansɨ
тонкостей	ˈtonkəstɪj
скопище	ˈskopɪɕːe
природная	
последователей	pɐsˈledəvətɪlɪj
ружей	ˈruʐɨj
преферанс	prɪfɪˈrans
удавом	ʊˈdavəm
взорвали	vzɐrˈvalɪ
выводила	vɨvɐˈdiɫə
разведчиками	rɐzˈvet͡ɕːɪkəmɪ
увозили	ʊvɐˈzilɪ
переводчиком	pɪrɪˈvot͡ɕːɪkəm
падало	ˈpadɐɫo
смертельную	
лихорадкой	lɪxɐˈratkəj
задумали	zɐˈduməlɪ
повестке	pɐˈvestke
неподдельным	
прибавляет	prɪbɐˈvlæjɪt
специфический	spɪt͡sɨˈfit͡ɕɪskɪj
парторг	pɐrˈtork
аммиака	ɐmɪˈakə
снегах	snɪˈɡax
прикрывали	prɪkrɨˈvalɪ
вращаться	vrɐˈɕːat͡sːə
распускать	rəspʊˈskat
поверхностное	
церемониться	t͡sɨrɪˈmonɪt͡sə
самостоятельная	
начнете	
наводчика	nɐˈvot͡ɕːɪkə
родительского	
самолетами	
бархатной	
типичным	
фантастическое	
воплощением	vəpɫɐˈɕːenɪjɪm
овал	ɐˈvaɫ
вытянутые	
развалилась	rəzvɐˈliɫəs
знатоков	znətɐˈkof
модным	
привыкает	prɪvɨˈkajɪt
глиняный	ˈɡlinɪnɨj
подавляя	pədɐˈvlæjə
багажнике	bɐˈɡaʐnɪke
врожденной	
отремонтировать	ɐtrɪmɐnˈtirəvət
пустынных	
вдумчиво	ˈvdumt͡ɕɪvə
забавное	
бледнеет	blɪdˈnejɪt
старостой	ˈstarəstəj
антибиотиками	ɐntɪbɪˈotɪkəmɪ
загородил	zəɡərɐˈdiɫ
сумеете	sʊˈmejɪte
рыночных	
всмотрелся	fsmɐˈtreɫsə
великаны	vɪlɪˈkanɨ
завернутый	
поступком	pɐˈstupkəm
застеснялся	
застонала	zəstɐˈnaɫə
служебная	
шашлычной	
двадцатые	
совершении	səvɪrˈʂɛnɪɪ
постэкономической	
сухопутных	
допускается	dəpʊˈskajɪt͡sə
сыновьям	sɨnɐˈvjam
динамика	diˈnamika
туалетной	
экипажем	ɪkɪˈpaʐɨm
достойная	
тюремных	
провожают	prəvɐˈʐajʊt
оптимальный	ɐptɪˈmalnɨj
номерах	nəmɪˈrax
мяча	mɪˈt͡ɕa
мягкому	
получай	pəɫʊˈt͡ɕæj
потребуют	pɐˈtrebʊjʊt
кранты	krɐnˈtɨ
успевая	ʊspɪˈvajə
акул	aːkʷəl
отнеслась	ɐtnɪsˈɫas
подорвать	pədɐrˈvat
проявила	prəjɪˈviɫə
штучек	ˈʂtut͡ɕɪk
прыжки	prɨʂˈki
задаром	zɐˈdarəm
рентген	rɪnˈɡen
поведут	pəvɪˈdut
травкой	ˈtrafkəj
высовывались	vɨˈsovɨvəlɪs
лунные	
койка	ˈkojkə
мечутся	ˈmet͡ɕʊt͡sə
подступы	ˈpot͡sstʊpɨ
профсоюзов	prəfsɐˈjuzəf
прекращая	prɪkrɐˈɕːæjə
идеологическую	
объектива	ɐbjɪkˈtivə
поили	pɐˈilɪ
конвейер	konveier
спортивная	
затяжной	zətɪʐˈnoj
занятость	ˈzanɪtəst
наткнулась	nɐtkˈnuɫəs
мата	mata
волшебным	
губернатору	ɡʊbɪrˈnatərʊ
автограф	ɐftoˈɡraf
шашкой	ˈʂaʂkəj
послевоенные	
площадях	pɫəɕːɪˈdax
пингвина	pɪnɡˈvinə
клопы	kɫɐˈpɨ
приглашению	prɪɡɫɐˈʂɛnɪjʊ
беспокоят	bɪspɐˈkojət
причастность	prɪˈt͡ɕasnəst
браков	ˈbrakəf
невысокая	
волосатой	
участком	ʊˈt͡ɕastkəm
стопкой	ˈstopkəj
плотных	
останавливая	ɐstɐˈnavlɪvəjə
диете	dɪˈjete
рифмы	ˈrifmɨ
умолкает	ʊmɐɫˈkajɪt
прикрикнула	prɪˈkriknʊɫə
перочинный	pɪrɐˈt͡ɕinːɨj
мечтая	mɛt͡ʃˈtajɐ
мигает	mɪˈɡajɪt
самостоятельную	
европейская	
упрямая	
попавших	
доступен	dɐˈstupɪn
порция	ˈport͡sɨjə
извозчика	ɪzˈvoɕːɪkə
вестей	vɪˈstej
ненавязчиво	
кормления	kɐrˈmlenɪjə
заложили	zəɫɐˈʐɨlɪ
экскурсия	ekskursia
цензура	t͡sɛnˈzuɾa
справкой	ˈsprafkəj
кредо	ˈkrɛdə
скобу	skɐˈbu
тюремный	tʉˈremnɨj
промывают	prəmɨˈvajʊt
стойбище	
предвещало	prɪdvɪˈɕːaɫə
пышных	
трезвой	
дуболомов	
автоматные	
ожога	ɐˈʐoɡə
ощутили	ɐɕːʉˈtilɪ
шлагбаум	ʂɫɐɡˈbaʊm
печальнее	
чувствовался	ˈt͡ɕustvəvəɫsə
натурой	nɐˈturəj
мыслишка	mɨsˈliʂkə
стихийное	
малости	ˈmaɫəstɪ
сбросив	ˈzbrosɪf
лакированные	
колхозные	
седым	
шевелилась	ʂɨvɪˈliɫəs
угнал	ʊɡˈnaɫ
справедливого	
осложнениями	ɐsɫɐʐˈnenɪjəmɪ
сшиб	ʂːɨp
скалой	skɐˈɫoj
вышедшей	
грабители	ɡrɐˈbitɪlɪ
нравственная	
ломти	ɫɐmˈti
витамин	miŋ⁵
диковинку	dɪˈkovɪnkʊ
воплощения	vəpɫɐˈɕːenɪjə
интеллигентная	
спозаранку	spəzɐˈrankʊ
кода	ˈkɔda
орк	ork
создавались	səzdɐˈvalɪs
полоснул	pəɫɐsˈnuɫ
интеграции	ɪntɨˈɡrat͡sɨɪ
перебои	pɪrɪˈboɪ
персов	ˈpersəf
ширму	ˈʂɨrmʊ
невестка	nɪˈvestkə
виток	ˈvitɔk
безнадежное	
ощущалось	ɐɕːʉˈɕːaɫəs
завершился	zəvɪrˈʂɨɫsə
выбрит	
мерзлой	
автоматная	
прислонясь	
плаката	pɫɐˈkatə
возражали	vəzrɐˈʐalɪ
кисточкой	ˈkistət͡ɕkəj
молятся	ˈmolət͡sə
привычкой	prɪˈvɨt͡ɕkəj
тяжелей	tɪʐɨˈlej
владела	vɫɐˈdeɫə
кувалду	kʊˈvaɫdʊ
высовывался	vɨˈsovɨvəɫsə
встречному	ˈfstret͡ɕnəmʊ
струится	strʊˈit͡sːə
молчком	
сыплются	ˈsɨplʊt͡sə
корчился	ˈkort͡ɕɪɫsə
утратила	ʊˈtratɪɫə
ведаю	ˈvedaju
просторная	
валютного	
сочные	
мытье	mɨˈtje
праздничных	
распахнутых	
выцветшие	
исходила	ɪsxɐˈdiɫə
любовники	lʊˈbovnɪkɪ
новостью	ˈnovəstjʊ
вдыхал	vdɨˈxaɫ
обвиняет	ɐbvɪˈnæjɪt
ставших	
диктовал	dɪktɐˈvaɫ
дорожных	
шлюпку	ˈʂlupkʊ
балда	bɐɫˈda
файл	fail
годовых	
диктатора	dɪkˈtatərə
рыла	ˈrɨɫa
божья	
просишь	ˈprosɪʂ
пресловутый	prɪsɫɐˈvutɨj
отдаленным	
недостает	
раздавалось	rəzdɐˈvaɫəs
перестанешь	pɪrɪˈstanɪʂ
дверку	ˈdverkʊ
лопасти	ˈɫopəstɪ
союзы	sɐˈjuzɨ
магазинчик	məɡɐˈzint͡ɕɪk
швырял	ʂvɨˈraɫ
просторную	
окруженной	
фотоаппаратом	ˌfotɐɐpɐˈratəm
максимального	
рейха	ˈrejxə
сельский	ˈselskɪj
старшеклассников	stərʂɨˈkɫasnɪkəf
федерализма	fɪdɪrɐˈlizmə
жеста	ˈʐɛstə
будка	ˈbutkə
рвение	ˈrvenɪje
переносили	pɪrɪnɐˈsilɪ
аккуратная	
здравие	ˈzdravɪje
оставишь	ɐˈstavɪʂ
муке	ˈmuke
лопаткой	ɫɐˈpatkəj
затвором	zɐtˈvorəm
белесыми	
оторвало	ɐtɐrˈvaɫə
люто	ˈlutə
популярным	
резиденцию	rɪzɪˈdent͡sɨjʊ
зевает	zɪˈvajɪt
солидное	
заулыбалась	zəʊɫɨˈbaɫəs
величайших	
регулярные	
сгорит	zɡɐˈrit
шведской	
грудным	
ограничены	ɐɡrɐˈnit͡ɕɪnɨ
разглядев	rəzɡlɪˈdef
поднятые	
превратившись	prɪvrɐˈtifʂɨs
седую	
стихию	stɪˈxijʊ
званием	ˈzvanɪjɪm
откровенностью	ɐtkrɐˈvenːəstjʊ
заливать	zəlɪˈvat
итогам	ɪˈtoɡəm
пополнить	pɐˈpoɫnɪt
отменяется	ɐtmɪˈnæjɪt͡sə
мучительная	
лись	
марка	ˈmarka
подготовленные	
крошечных	
завалить	zəvɐˈlit
упражнение	oprɐʒˈnɛniɛ
свалилось	svɐˈliɫəs
медикаменты	mɪdɪkɐˈmentɨ
гулкий	ˈɡuɫkɪj
чрезвычайное	t͡ɕɪrɪzvɨˈt͡ɕæjnəjə
отелей	ɐˈtɛlɪj
действующего	
встретим	ˈfstretɪm
извиваясь	ɪzvɪˈvajɪs
увозят	ʊˈvozət
диагонали	dɪəɡɐˈnalɪ
выдох	ˈvɨdəx
самки	ˈsamkɪ
посадкой	pɐˈsatkəj
целуя	t͡sɨˈɫujə
опущенной	
клинком	klɪnˈkom
транспортной	
уникальной	
общественному	
убогий	ʊˈboɡɪj
столиц	stɐˈlit͡s
пискнула	ˈpisknʊɫə
лавы	ˈɫavɨ
проживет	
гудело	ɡʊˈdeɫə
порывами	pɐˈrɨvəmɪ
козырьку	kəzɨrˈku
папиросами	pəpɪˈrosəmɪ
алкаш	ɐɫˈkaʂ
вынесет	ˈvɨnɪsɪt
резерва	ˈrɛzɛrva
молчаливого	
пострашнее	
вводится	ˈvːodɪt͡sə
заросшей	
ласковое	
представим	prɪt͡sˈtavɪm
атомная	
подействовала	pɐˈdejstvəvəɫə
дефекты	dɪˈfektɨ
докажу	dəkɐˈʐu
прибрежных	
слабую	
весенняя	vɪˈsenːɪjə
медпункт	mɪtˈpunkt
выдохся	ˈvɨdəxsə
образами	ˈobrəzəmɪ
лидерами	ˈlidɪrəmɪ
спим	spim
окончился	ɐˈkont͡ɕɪɫsə
порогом	pɐˈroɡəm
прятки	ˈpratkɪ
катере	ˈkatɪre
президентов	prɪzɪˈdentəf
обходились	ɐpxɐˈdilɪs
приспособление	prɪspəsɐˈblenɪje
неровные	
пользе	ˈpolze
объекту	ɐbˈjektʊ
стукнуть	ˈstuknʊt
материалам	mətɪrɪˈaɫəm
установке	ʊstɐˈnofke
чреве	ˈt͡ɕreve
закрытое	
комсомольского	
предстояла	prɪt͡stɐˈjaɫə
припустил	
пребывают	prɪbɨˈvajʊt
топорик	tɐˈporɪk
пирожные	pɪˈroʐnɨje
канцлер	kantsler
восстановлении	vəsːtənɐˈvlenɪɪ
прыжке	prɨʂˈke
забилось	zɐˈbiɫəs
плотину	pɫɐˈtinʊ
прозрачного	
роскошно	rɐˈskoʂnə
вариантах	vərɪˈantəx
поскреб	
комсомольских	
навозом	nɐˈvozəm
придавая	prɪdɐˈvajə
приближенных	
химическое	
обойдя	ɐbɐjˈda
нон	nɔn
наличные	nɐˈlit͡ɕnɨje
архитектура	ɐrxitɛkˈturɐ
радиус	radius
уезда	ʊˈjezdə
жирного	ˈʐɨrnəvə
соус	ˈsoʊs
шакал	ˈʃakal
терем	ˈterɪm
алкоголизм	ɐɫkəɡɐˈlizm
куску	kʊˈsku
реставрации	rɪstɐˈvrat͡sɨɪ
дергаться	
скучной	
справляться	sprɐˈvlat͡sːə
свадебный	ˈsvadɪbnɨj
откликнулись	ɐtˈkliknʊlɪs
значками	znɐt͡ɕˈkamɪ
готовом	
термоса	ˈtɛrməsə
новогодний	nəvɐˈɡodnɪj
переломы	pɪrɪˈɫomɨ
мотоциклах	mətɐˈt͡sɨkɫəx
заявляют	zəjɪˈvlæjʊt
валялось	vɐˈlaɫəs
вызывается	vɨzɨˈvajɪt͡sə
отвлеклись	ɐtvlɪˈklis
проявляться	prəjɪˈvlat͡sːə
недосуг	nɪdɐˈsuk
оппонентов	ɐpɐˈnentəf
перечитывать	pɪrɪˈt͡ɕitɨvət
станков	stɐnˈkof
колдуньи	kɐɫˈdunjɪ
сошло	sɐʂˈɫo
вокзалов	vɐɡˈzaɫəf
помогаю	pəmɐˈɡajʊ
страховой	strəxɐˈvoj
золотистых	zəɫɐˈtistɨx
чудовищных	
безбожно	ˈbɛzbɔʒnɔ
уволят	ʊˈvolət
угадывать	ʊˈɡadɨvət
боковые	
харчи	xɐrˈt͡ɕi
воронке	vɐˈronke
проиграть	prəɪˈɡrat
формам	ˈforməm
игнорируя	ɪɡnɐˈrirʊjə
пересекал	pɪrɪsɪˈkaɫ
знало	ˈznaɫə
поспевал	pəspɪˈvaɫ
казенного	
сидевшие	
глупыми	ˈɡɫupɨmɪ
посвященный	
мясорубку	mɪsɐˈrupkʊ
незнакомом	nɪznɐˈkoməm
солнцепеке	
бестактность	bɪˈstaktnəst
верными	
окончилось	ɐˈkont͡ɕɪɫəs
мареве	ˈmarɪve
портного	pɐrtˈnovə
носилась	nɐˈsiɫəs
инстинктов	ɪnˈstinktəf
зловещей	
скукой	ˈskukəj
разрабатывать	rəzrɐˈbatɨvət
покончили	pɐˈkont͡ɕɪlɪ
поросшие	
претендует	prɪtɪnˈdujɪt
фронтовых	
подготовленный	pədɡɐˈtovlɪnːɨj
обидит	ɐˈbidɪt
бабуля	baˈbula
поплавок	pəpɫɐˈvok
жареный	ˈʐarɪnɨj
кнопка	ˈknopkə
тусовка	tʊˈsofkə
расчетах	
благосостояние	bɫəɡəsəstɐˈjænɪje
приблизить	prɪˈblizɪt
искорки	ˈiskərkɪ
воздержаться	vəzdɪrˈʐat͡sːə
шлемах	ˈʂleməx
странствий	ˈstranstvɪj
замолчать	zəmɐɫˈt͡ɕæt
магнитной	
занятиям	zɐˈnætɪjəm
перелез	pɪrɪˈles
дубы	dʊˈbɨ
примерный	prɪˈmernɨj
проступок	prɐˈstupək
интересном	
неизбежным	
печью	ˈpet͡ɕjʊ
мундиры	mʊnˈdirɨ
юному	
загорелое	
стучала	stʊˈt͡ɕaɫə
жалобами	ˈʐaɫəbəmɪ
блох	bɫox
сигнализация	sɪɡnəlɪˈzat͡sɨjə
замечаем	zəmɪˈt͡ɕæjɪm
безвозмездно	bɪzvɐzˈmeznə
тридевять	
ам	ɒm
демоны	ˈdemənɨ
республиках	rɪˈspublɪkəx
милостью	ˈmiɫəstjʊ
драконов	drɐˈkonəf
департамента	dɪpɐrˈtamɪntə
яйцом	jɪjˈt͡som
песках	pɪˈskax
увернуться	ʊvɪrˈnut͡sːə
высадил	ˈvɨsədɪɫ
волшебником	vɐɫˈʂɛbnɪkəm
колхозного	
громкая	ˈɡromkəjə
вылечить	ˈvɨlɪt͡ɕɪt
приветствовала	prɪˈvet͡stvəvəɫə
хищения	xɪˈɕːenɪjə
ядерных	
бляди	ˈbʎadi
сыграем	sɨˈɡrajɪm
батька	ˈbatkə
придти	prɪˈtːi
пришлет	
утечки	ʊˈtet͡ɕkɪ
дружинников	drʊˈʐɨnːɪkəf
эльфа	ˈɛlfə
костного	
худшего	
творца	tvɐrˈt͡sa
тягуче	
госпитализации	ɡəspɪtəlɪˈzat͡sɨɪ
палил	pɐˈliɫ
законная	
жирно	ˈʐɨrnə
лугов	ɫʊˈɡof
орбит	ɐrˈbit
качнулась	kɐt͡ɕˈnuɫəs
подам	poˈdam
котлет	kɔtˈlɛt
унты	
дикарь	dɪˈkar
заход	zɐˈxot
отходила	ɐtxɐˈdiɫə
пользуюсь	ˈpolzʊjʉs
твердости	
оранжевой	
виной	vɪˈnoj
баньку	ˈbankʊ
защищают	zəɕːɪˈɕːæjʊt
вареной	
выказал	ˈvɨkəzəɫ
квартирку	kvɐrˈtirkʊ
странник	ˈstranːɪk
кружевами	krʊʐɨˈvamɪ
творческом	
переменного	
погрузить	pəɡrʊˈzit
киллер	ˈkilɪr
финскую	
секция	ˈsekt͡sɨjə
перебирала	pɪrɪbɪˈraɫə
грешников	ˈɡreʂnɪkəf
повышенную	
выглядишь	ˈvɨɡlɪdɪʂ
принятый	ˈprinɪtɨj
лат	ɫat
отбивать	ɐdbɪˈvat
аспекты	ɐˈspektɨ
вздрогнув	ˈvzdroɡnʊf
бесплатные	
главнокомандующий	ɡlɑβnokoˈmɑndujuɕːij
доны	ˈdonɨ
помещиков	pɐˈmeɕːɪkəf
мерзавцев	mɪrˈzaft͡sɨf
безумным	
ист	ist
воспитатели	vəspɪˈtatɪlɪ
вырезки	ˈvɨrɪskɪ
коллективного	
совершая	səvɪrˈʂajə
предшествовало	prɪt͡ʂˈʂɛstvəvəɫə
сосне	sɐsˈne
сосчитал	səɕːɪˈtaɫ
хлопьями	ˈxɫopjɪmɪ
килем	ˈkilɪm
выжили	ˈvɨʐɨlɪ
создавала	səzdɐˈvaɫə
мошенник	mɐˈʂɛnːɪk
гнул	ɡnuɫ
окружены	
везу	vɪˈzu
затащили	zətɐˈɕːilɪ
особи	ˈosəbɪ
камине	kɐˈmine
мелькало	mɪlˈkaɫə
гимнастерках	
прыжку	prɨʂˈku
чистку	ˈt͡ɕistkʊ
топоров	təpɐˈrof
кухонной	
вердикт	vɪrˈdikt
простоту	prəstɐˈtu
занесли	zɐˈnɛsli
разрезе	rɐzˈreze
лестниц	ˈlesnɪt͡s
свели	svɪˈli
автоматчиков	ɐftɐˈmat͡ɕːɪkəf
грохочет	ɡrɐˈxot͡ɕɪt
молодцов	məɫɐˈt͡sːof
запреты	zɐˈpretɨ
покороче	pəkɐˈrot͡ɕe
мазей	ˈmazɪj
доставляют	dəstɐˈvlæjʊt
нечисти	ˈnet͡ɕɪstɪ
выраженные	
прозрачности	prɐzˈrat͡ɕnəstɪ
эффективным	
невиданный	nɪˈvidənːɨj
гадко	
менеджеров	ˈmɛnɨd͡ʐʐɨrəf
накрыть	nɐˈkrɨt
больны	bɐlˈnɨ
возвышается	vəzvɨˈʂajɪt͡sə
желчных	
электролит	elektrolit
матушку	ˈmatʊʂkʊ
корешок	kərɪˈʂok
сбыта	ˈzbɨtə
коим	ˈkoɪm
потертый	
пристрастием	prɪˈstrastɪjɪm
ходок	xɐˈdok
ракетодром	
коммунальные	
оградить	ɐɡrɐˈdit
растерянным	
появившийся	pəjɪˈvifʂɨjsə
изволили	ɪzˈvolɪlɪ
подвернулся	pədvɪrˈnuɫsə
матерясь	mətɪˈræs
вооруженного	
бородатых	
ценностями	ˈt͡sɛnːəstəmɪ
спекулянтов	spɪkʊˈlantəf
малины	mɐˈlinɨ
росе	rɐˈse
высокопоставленных	
вывалились	ˈvɨvəlɪlɪs
путал	ˈputəɫ
тюремные	
холодов	xəɫɐˈdof
любуется	lʊˈbujɪt͡sə
бюллетень	biulleten
рефлексы	rɪˈfleksɨ
применил	prɪmɪˈniɫ
хлестали	xlɪˈstalɪ
решительностью	rɪˈʂɨtɪlnəstjʊ
лебедя	ˈlebɪdə
ухватилась	ʊxvɐˈtiɫəs
листовку	lɪˈstofkʊ
квитанцию	kvɪˈtant͡sɨjʊ
новенькую	
отрекся	
прикинуть	prɪˈkinʊt
воздушным	
дозволено	
идола	ˈidəɫə
наградил	nəɡrɐˈdiɫ
виновными	vɪˈnovnɨmɪ
зарылся	zɐˈrɨɫsə
пучком	pʊt͡ɕˈkom
переданы	
универсальный	ʊnɪvɪrˈsalnɨj
новостях	nəvɐˈstax
обитель	ɐˈbitɪl
пучину	pʊˈt͡ɕinʊ
взятой	
девятнадцатом	
паралича	pərəlɪˈt͡ɕa
вылетит	ˈvɨlɪtɪt
кончу	ˈkont͡ɕʊ
затрясло	zətrɪsˈɫo
французскому	frɐnˈt͡suskəmʊ
подобралась	pədəbrɐˈɫas
киллера	ˈkilɪrə
строительством	strɐˈitɪlstvəm
выкладывать	vɨˈkɫadɨvət
проводилось	prəvɐˈdiɫəs
дразнил	drɐzˈniɫ
лояльность	ɫɐˈjælnəst
неглупый	nɪˈɡɫupɨj
запчасти	zɐpˈt͡ɕæstɪ
лишними	ˈliʂnɪmɪ
карнавал	karnaval
атак	ɐˈtak
фунта	ˈfunta
кололи	kɐˈɫolɪ
отсчет	ɐt͡ɕˈɕːɵt
оч	
умножения	ʊmnɐˈʐɛnɪjə
недоступны	
корой	kɐˈroj
покупаю	pəkʊˈpajʊ
безработных	bɪzrɐˈbotnɨx
подавленный	pɐˈdavlɪnːɨj
полынью	pɐˈɫɨnjʊ
платьем	ˈpɫatjɪm
перестав	pɪrɪˈstaf
нырнуть	nɨrˈnut
ненормальная	
собраний	sɐˈbranɪj
локоток	ɫəkɐˈtok
удовлетворены	
пристрастие	prɪˈstrastɪje
сурового	
кирзовых	
серьезном	
публиковать	pʊblɪkɐˈvat
носителей	nɐˈsitɪlɪj
виноватый	vɪnɐˈvatɨj
уверенные	
декларации	dɛkɫɐˈrat͡siitɛ
закусками	zɐˈkuskəmɪ
плоско	ˈpɫoskə
прикажут	prɪˈkaʐʊt
продовольственных	
сорочка	sɐˈrot͡ɕkə
выигрывает	vɨˈiɡrɨvəjɪt
заслоняя	zəsɫɐˈnæjə
чисты	t͡ɕɪˈstɨ
подавляющем	
смуглой	
разобравшись	rəzɐˈbrafʂɨs
входящего	
мыслимые	
отключить	ɐtklʉˈt͡ɕit
доверяя	dəvɪˈræjə
мыслю	ˈmɨslʊ
банан	baˈnan
заткнись	zɐtkˈnis
напропалую	
пыльную	
сек	sɛk
нижнее	
кастрюле	kɐˈstrʉle
импортных	
старинными	stɐˈrinːɨmɪ
подружку	pɐˈdruʂkʊ
полигоне	pəlɪˈɡone
телевизоре	tɛlɛˈvizorɛ
покусывая	pɐˈkusɨvəjə
районных	
кося	koˈsɤ̟
оперативную	
мусоропровод	ˌmusərəprɐˈvot
пыльным	
дачный	ˈdat͡ɕnɨj
проба	ˈprɔba
